NOMS;LIEUX;HORAIRES;PMR;X_CC48;Y_CC48;X_L93;Y_L93;X_WGS84;Y_WGS84
JARDINS FAMILIAUX BINTINAIS;Départemental 82;de Mars à Septembre;?;1352753.59;7219261.65;352914.52;6785627.76;-1.66353078;48.07875497
MAIRIE OPERA;Place de la Mairie;du Lundi au Samedi 8h à 19h40.;NON;1351839.90;7222933.00;351996.02;6789296.02;-1.67876029;48.11121760
HALLES CENTRALES;2 place Honoré Commeurec;de 7h à 19h sauf le dimanche;NON;1351747.63;7222581.80;351904.30;6788944.86;-1.67971106;48.10801440
CHAMPS LIBRES;Cours des Alliers;"du M au V de 12h à 19h, sauf mardi  21h; les S et D 14h à 19h.";OUI;1352134.26;7222263.16;352291.20;6788626.93;-1.67426905;48.10536455
FREVILLE;Place de la Communauté;;OUI;1351990.20;7220876.50;352149.20;6787240.74;-1.67507159;48.09283712
GARE ROUTIERE;Bd Solférino;;?;1352354.30;7222084.86;352511.39;6788449.03;-1.67117467;48.10388373
KLEBER_2;1 rue Kléber;Horaires du parking;NON;1352208.76;7222857.04;352364.81;6789220.63;-1.67375367;48.11073684
GARE;Place de la Gare;6h à 23h;OUI;1352213.26;7222137.70;352370.34;6788501.64;-1.67310805;48.10428124
KLEBER parking;1 rue Kléber;Horaires du parking;NON;1352221.10;7222857.86;352377.15;6789221.47;-1.67358888;48.11075092
GAYEULLES PARC;"Parc des Gayeuilles SUD ""Tatelin""";;;1354694.12;7225032.24;354845.89;6791398.35;-1.64219330;48.13161492
GAYEULLES PARC;"Parc des Gayeuilles SUD ""patinoire""";;;1354358.81;7225007.61;354510.78;6791373.25;-1.64667021;48.13121225
GUY HOUIST;Sq. Guy Houist;;NON;1351012.09;7223191.75;351168.24;6789553.46;-1.69006865;48.11308845
SAINT-CYR;61 quai St. Cyr;6h à 23h;OUI;1350730.67;7222625.06;350887.77;6788986.64;-1.69337824;48.10784704
MOULIN du COMTE;1 Sq. Simone Morand;6h à 23h;OUI;1349669.87;7222804.46;349827.22;6789164.42;-1.70774463;48.10887626
GAYEULLES PARC;rue Maurice AUDIN;;;1354458.83;7225704.69;354609.75;6792070.14;-1.64589295;48.13752460
